"As Of Date","Federal Agency","Funding Source","Program Description","Project","Project Description","Project Type","County","Municipality","Applicant","Obligated Amount","Obligated Date","Federal Share","State Share","Local Share","Federal Disbursed Amount","Federal Disbursed Date"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Non-Profit Organization","MONMOUTH","TINTON FALLS BOROUGH","Monmouth Regional High School","$2,431.15","01/17/2013","$2,188.03",,"$243.12","$2,188.03","08/01/2013"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Non-Profit Organization","STATEWIDE","STATEWIDE","NJ Dept. Of Human Services","$169,297.00","08/02/2013","$152,367.30",,"$16,929.70","$152,367.30","03/07/2024"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Non-Profit Organization","ESSEX","MILLBURN TOWNSHIP","Millburn (Twp) Board Of Education","$14,795.00","02/19/2013","$13,315.50",,"$1,479.50","$13,315.50","08/15/2013"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Non-Profit Organization","ESSEX","NEWARK CITY","Newark Aids Consortium, Broadway House","$1,100.00","04/19/2013","$990.00",,"$110.00","$990.00","09/12/2013"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","County","ATLANTIC","COUNTYWIDE","Atlantic County","$142,027.68","04/08/2013","$127,824.91",,"$14,202.77","$127,824.91","09/26/2014"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Municipality","ESSEX","MONTCLAIR TOWNSHIP","Montclair Township","$619,300.35","04/19/2013","$557,370.32",,"$61,930.03","$557,370.32","02/09/2018"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Municipality","MORRIS","BOONTON TOWN","Boonton Town","$123,615.89","02/19/2013","$111,254.30",,"$12,361.59","$111,254.30","10/09/2014"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Non-Profit Organization","STATEWIDE","STATEWIDE","Joint Meeting Of Essex And Union Counties","$56,789.98","06/21/2013","$51,110.98",,"$5,679.00","$51,110.98","06/23/2015"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Non-Profit Organization","MORRIS","PEQUANNOCK TOWNSHIP","New Bridge Services","$2,500.00","05/17/2013","$2,250.00",,"$250.00","$2,250.00","08/15/2013"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Non-Profit Organization","ESSEX","NEWARK CITY","Newark Housing Authority","$631,413.60","10/10/2013","$568,272.24",,"$63,141.36","$568,272.24","04/13/2023"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Municipality","ATLANTIC","ESTELL MANOR CITY","Estell Manor City","$5,501.68","04/30/2013","$4,951.51",,"$550.17","$4,951.51","08/21/2013"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Municipality","ATLANTIC","HAMMONTON TOWN","Hammonton Town","$92,315.71","02/02/2013","$83,084.13",,"$9,231.58","$83,084.13","04/26/2017"
"04/22/2026","FEMA PA","PA","Federal Emergency Management Agency's (FEMA) Public Assistance (PA) Grant Program is to provide assistance to State, Tribal and local governments, and certain types of Private Nonprofit organizations so that communities can quickly respond to and recover","A - Debris Removal","This program provides funding for the clearance, removal, and/or disposal of items such as trees, woody debris, sand, mud, silt, gravel, building components, wreckage, vehicles, and personal property to eliminate an immediate threat to lives, public health and safety","Non-Profit Organization","STATEWIDE","STATEWIDE","Passaic Valley Sewerage Commission","$1,767,128.48","01/10/2014","$1,590,415.64",,"$176,712.84","$1,590,415.64","02/08/2022"
